time,DRAM,CPU,Iteration
4510.085798,6510417,114034017,13
4510.47975,5747477,116577148,1
4510.685445,6951226,110151502,9
4510.722777,6027222,119798449,7
4514.288048,6039938,118798150,3
4514.889733,5844964,114305284,17
4515.734255,7472568,120934381,11
4519.162936,6531609,112609864,15
4519.76424,7544624,114186605,5
4519.934343,6629096,114220513,13
4520.479456,5709330,118611654,1
4520.686206,6866455,108727350,9
4520.724524,7023282,118018256,7
4524.286433,5094740,119103326,3
4524.890158,7472568,113169352,17
4525.730961,5806817,118764241,11
4529.164323,6569756,111575656,15
4529.763721,7743835,113847521,5
4529.943362,5976359,116763645,13
4530.481548,5980598,117068820,1
4530.701102,7998149,112982856,9
4530.721332,5908542,118577745,7
4534.4726,7408990,117424859,3
4534.890318,7180108,115237766,17
4535.738726,5395677,117323134,11
4539.164357,6510417,112236871,15
4539.764517,7383559,114796956,5
4540.01873,6747775,117153592,13
4540.479261,5641513,117306180,1
4540.68987,6379021,111575656,9
4540.728427,6629096,117713081,7
4544.291162,8693271,120035807,3
4544.891968,5857679,111338298,17
4545.731386,7277595,120307075,11
4549.165173,7544624,113101535,15
4549.762573,7993910,111609565,5
4549.93904,5327861,118459065,13
4550.481571,5802578,117272271,1
4550.690346,8888245,113983154,9
4551.386395,6688436,117340088,7
4554.286686,6370544,116560194,3
4554.893828,6692675,117746989,17
4555.731064,5989074,118747287,11
4559.165398,6701151,112186008,15
4559.765022,7798936,111728244,5
4560.056561,7866753,115576850,13
4560.478032,5251567,117357042,1
4560.683681,6768968,110727946,9
4560.72757,7167392,115152994,7
4564.288701,5946689,116916233,3
4564.892791,7303026,114780002,17
4565.731552,5806817,116899278,11
4569.214286,7277595,112609863,15
4569.768625,8807712,116119385,5
4569.940164,6764730,118255616,13
4570.475895,5794101,119306776,1
4570.738883,6362067,113576254,7
4571.018303,6883409,109761556,9
4574.28786,6506178,116865370,3
4574.889595,7324218,117950439,17
4575.739544,6438362,116475424,11
4579.168561,7820129,114695232,15
4579.762755,8065966,113559299,5
4579.93551,7218255,116628011,13
4580.479406,6014506,117611355,1
4580.683825,7133484,111660428,9
4580.72807,9290908,106506347,7
4584.290913,6251865,111423069,3
4584.887871,8845859,116916233,17
4585.732829,6468031,115882025,11
4589.1643,7659065,111067030,15
4589.765645,7171631,111880832,5
4589.938665,7875231,116678873,13
4590.477214,5323622,107744005,1
4590.689261,7498000,109931098,9
4590.731836,6679958,116746691,7
4594.293283,5666945,111660427,3
4594.894948,7430183,111100939,17
4595.732566,8875529,117950440,11
4599.114958,7497999,114152696,15
4599.765381,7133484,111728245,5
4599.943594,9023878,118136936,13
4600.489446,6849501,117543539,1
4600.684757,6022983,109965006,9
4600.725626,8260939,117255317,7
4604.290397,5959405,115424262,3
4604.924807,10261536,114780002,17
4605.736558,6930033,112084283,11
4609.163791,5895827,111253527,15
4609.762717,7116529,111999511,5
4609.937981,7226732,113254123,13
4610.484167,7536146,116848416,1
4610.685699,7332696,110999214,9
4610.724645,6510417,113644070,7
4614.541093,6438361,113254123,3
4615.136262,8684794,113254123,17
